schedule_month,region_name,commissioner_name,monthly_ud_as_delivered,monthly_uo_as_delivered,urgent_forms,any_band_unique_patients_rolling_12_month,band_1_unique_patients_rolling_12_month,band_2_or_3_unique_patients_rolling_12_month,urgent_band_1_unique_patients_rolling_12_month,other_unique_patients_rolling_12_month
2016-06-01T00:00:00Z,North East and Yorkshire,South Yorkshire ICB,158898.4,NA,5800,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,North East and Yorkshire,West Yorkshire ICB,257557.6,NA,8884,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,North West,Cheshire and Merseyside ICB,280241.4,NA,13017,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,North West,Greater Manchester ICB,300285.2,NA,13661,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,North West,Lancashire and South Cumbria ICB,153928.8,NA,6388,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South East,"Buckinghamshire, Oxfordshire and Berkshire West ICB",141751.2,NA,6419,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South East,Frimley ICB,64640.6,NA,3363,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South East,Hampshire and Isle Of Wight ICB,157131.8,NA,7586,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South East,Kent And Medway ICB,156024.6,NA,7557,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South East,Surrey Heartlands ICB,80160.6,NA,3241,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South East,Sussex ICB,159125.4,NA,6866,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South West,"Bath and North East Somerset, Swindon And Wiltshire ICB",74794.6,NA,2522,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South West,"Bristol, North Somerset and South Gloucestershire ICB",103480.6,NA,3753,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South West,Cornwall and the Isles Of Scilly ICB,58145.4,NA,3180,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South West,Devon ICB,118851.6,NA,4991,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South West,Dorset ICB,75334,NA,3113,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South West,Gloucestershire ICB,48651.4,NA,1790,NA,NA,NA,NA,NA
2016-06-01T00:00:00Z,South West,Somerset ICB,58107,NA,2388,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,East of England,"Bedfordshire, Luton and Milton Keynes ICB",110856.8,NA,4344,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,East of England,Cambridgeshire and Peterborough ICB,112950,NA,5288,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,East of England,Hertfordshire and West Essex ICB,205912,NA,7817,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,East of England,Mid and South Essex ICB,183949,NA,7135,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,East of England,Norfolk and Waveney ICB,146803,NA,6847,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,East of England,Suffolk and North East Essex ICB,127816.2,NA,5248,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,London,North Central London ICB,191302.6,NA,8270,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,London,North East London ICB,229946.2,NA,9167,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,London,North West London ICB,280665,NA,11636,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,London,South East London ICB,242964.4,NA,9301,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,London,South West London ICB,177236.6,NA,7593,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,Birmingham and Solihull ICB,180344.8,NA,6703,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,Black Country ICB,185283.4,NA,6085,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,Coventry and Warwickshire ICB,132896.4,NA,3211,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,Derby and Derbyshire ICB,144856.6,NA,4502,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,Herefordshire and Worcestershire ICB,96630.4,NA,2882,NA,NA,NA,NA,NA
2016-07-01T00:00:00Z,Midlands,"Leicester, Leicestershire and Rutland ICB",144028.8,NA,5047,NA,NA,NA,NA,NA
