"","DATE","SUB_ICB_CODE","LA_CODE","PATIENT_TYPE","POP"
"199",2018-09-30,"06N",NA,"Adult",453426
"200",2018-09-30,"06N",NA,"Child",140332
"201",2018-09-30,"06P",NA,"Adult",157615
"202",2018-09-30,"06P",NA,"Child",57043
"203",2018-09-30,"06Q",NA,"Adult",309935
"204",2018-09-30,"06Q",NA,"Child",81911
"205",2018-09-30,"06T",NA,"Adult",268670
"206",2018-09-30,"06T",NA,"Child",66133
"207",2018-09-30,"06V",NA,"Adult",143310
"208",2018-09-30,"06V",NA,"Child",29589
"209",2018-09-30,"06W",NA,"Adult",176517
"210",2018-09-30,"06W",NA,"Child",40741
"211",2018-09-30,"06Y",NA,"Adult",186563
"212",2018-09-30,"06Y",NA,"Child",46363
"213",2018-09-30,"07G",NA,"Adult",127570
"214",2018-09-30,"07G",NA,"Child",42824
"215",2018-09-30,"07H",NA,"Adult",236463
"216",2018-09-30,"07H",NA,"Child",67988
"217",2018-09-30,"07J",NA,"Adult",142419
"218",2018-09-30,"07J",NA,"Child",33471
"219",2018-09-30,"07K",NA,"Adult",183545
"220",2018-09-30,"07K",NA,"Child",47376
"221",2018-09-30,"07L",NA,"Adult",147822
"222",2018-09-30,"07L",NA,"Child",62889
"223",2018-09-30,"07M",NA,"Adult",296301
"224",2018-09-30,"07M",NA,"Child",91502
"225",2018-09-30,"07N",NA,"Adult",189524
"226",2018-09-30,"07N",NA,"Child",56600
"227",2018-09-30,"07P",NA,"Adult",251539
"228",2018-09-30,"07P",NA,"Child",77563
"229",2018-09-30,"07Q",NA,"Adult",255350
"230",2018-09-30,"07Q",NA,"Child",74041
"231",2018-09-30,"07R",NA,"Adult",204188
"232",2018-09-30,"07R",NA,"Child",49173
"233",2018-09-30,"07T",NA,"Adult",219281
"234",2018-09-30,"07T",NA,"Child",64302
"235",2018-09-30,"07V",NA,"Adult",290062
"236",2018-09-30,"07V",NA,"Child",94775
"237",2018-09-30,"07W",NA,"Adult",260852
"238",2018-09-30,"07W",NA,"Child",81884
"239",2018-09-30,"07X",NA,"Adult",248494
"240",2018-09-30,"07X",NA,"Child",84211
"241",2018-09-30,"07Y",NA,"Adult",205172
"242",2018-09-30,"07Y",NA,"Child",63928
"243",2018-09-30,"08A",NA,"Adult",214587
"244",2018-09-30,"08A",NA,"Child",68262
"245",2018-09-30,"08C",NA,"Adult",147070
"246",2018-09-30,"08C",NA,"Child",35928
"247",2018-09-30,"08D",NA,"Adult",210599
"248",2018-09-30,"08D",NA,"Child",60625
"249",2018-09-30,"08E",NA,"Adult",191055
"250",2018-09-30,"08E",NA,"Child",57825
"251",2018-09-30,"08F",NA,"Adult",199368
"252",2018-09-30,"08F",NA,"Child",56671
"253",2018-09-30,"08G",NA,"Adult",229597
"254",2018-09-30,"08G",NA,"Child",72746
"255",2018-09-30,"08H",NA,"Adult",193584
"256",2018-09-30,"08H",NA,"Child",41416
"257",2018-09-30,"08J",NA,"Adult",136000
"258",2018-09-30,"08J",NA,"Child",38609
"259",2018-09-30,"08K",NA,"Adult",261416
"260",2018-09-30,"08K",NA,"Child",62632
"261",2018-09-30,"08L",NA,"Adult",233035
"262",2018-09-30,"08L",NA,"Child",68272
"263",2018-09-30,"08M",NA,"Adult",262241
"264",2018-09-30,"08M",NA,"Child",85755
"265",2018-09-30,"08N",NA,"Adult",225877
"266",2018-09-30,"08N",NA,"Child",75908
"267",2018-09-30,"08P",NA,"Adult",150558
"268",2018-09-30,"08P",NA,"Child",45122
"269",2018-09-30,"08Q",NA,"Adult",249846
"270",2018-09-30,"08Q",NA,"Child",64386
"271",2018-09-30,"08R",NA,"Adult",159050
"272",2018-09-30,"08R",NA,"Child",47002
"273",2018-09-30,"08T",NA,"Adult",155774
"274",2018-09-30,"08T",NA,"Child",47469
"275",2018-09-30,"08V",NA,"Adult",239561
"276",2018-09-30,"08V",NA,"Child",68403
"277",2018-09-30,"08W",NA,"Adult",208704
"278",2018-09-30,"08W",NA,"Child",66801
"279",2018-09-30,"08X",NA,"Adult",260238
"280",2018-09-30,"08X",NA,"Child",63019
